url,character,full_description,clothing_description
https://yugioh.fandom.com/wiki,Serenity Wheeler,"
[[File:Picture of serenity in joey's wallet.jpg|thumb|Picture of Serenity in Joey's wallet wearing a sailor uniform.]]
Serenity wears light blue denim shorts and long white socks with blue sneakers. Her top is a sleeveless pink and white shirt with a high collar that is worn on top of a short-sleeved yellow shirt. She does not change this outfit throughout the series except when she is in the hospital, where she wears simple pink pajamas. The photo [[Joey Wheeler]] has of her in his wallet shows her dressed in a sailor fuku common to middle school students in Japan. In the Japanese version of the final episode's end credits, she wears a white shirt with some pink linings around the edge of its collar, sleeves and bottom, and a orange short skirt. In the manga, she wears longer sleeves and jeans rather than the shorter clothes that she wears in the anime. She has auburn hair with long bangs framing the sides of her face and a cowlick of four small hairs that cover the middle part of her forehead. She has greenish brown eyes.

","a sailor uniform light blue denim shorts and long white socks with blue sneakers Her top a sleeveless pink and white shirt with a high collar that is worn on top of a short-sleeved yellow shirt this outfit simple pink pajamas a white shirt its collar, sleeves and bottom a orange short skirt longer sleeves and jeans rather than the shorter clothes that she wears in the anime auburn hair with long bangs framing the sides of her face and a cowlick of four small hairs that cover the middle part of her forehead greenish brown eyes"
https://yugioh.fandom.com/wiki,Yami Marik,"
[[File:Dark Marik Linework.jpg|thumb|left|180px|Yami Marik's design incorporates multiple layers of clothing and a wide range of expressions. Depicted here is the Duelist in full regalia from front, side and rear views and alongside views of his head from different angles.]]
[[File:Npc-marik.png|right|200px]]

Upon first awakening in the anime, he was wearing the original outfit of Marik, including a light purple sleeveless hoodie, black pants and black shoes, but wore most of his normal clothes underneath the hoodie in the manga. Yami Marik's usual outfit consists of a long purple cape with a gold chain, and the black sleeveless tank top and beige pants from the manga, making the whereabouts of his new clothes a trivial mystery. He wears golden earrings, neckwear, armbands and bracelets. His hair is spiked upwards and points in all directions, though he retains the same wing-like fringes of Marik's hair, and since he picked up the [[Millennium Rod]], which he keeps in his belt while not carrying it, he bears the [[Eye of Anubis]] on his forehead. After he defeats [[Yami Bakura]], he takes the [[Millennium Ring]], wearing it around his neck for the remainder of the tournament, but concealing it beneath his tank top until he reveals it to Yami Yugi during their Duel.

While Dueling, faint, ghastly images of his face frequently stretch out from his head. As the series progressed, visible veins slowly start to appear on his face. In the [[Battle City]] arc, he wears a [[Duel Disk|KaibaCorp Duel Disk]] on his left arm. As he is merely a split personality of the normal Marik, unlike Yami Yugi and Yami Bakura, who are both entirely different entities from their associated hosts in their own right, Yami Marik's facial structure is exactly the same as Marik's, though the similarities are offset by the differences outlined above.

","clothing and full regalia the original outfit of Marik, including a light purple sleeveless hoodie, black pants and black shoes his normal clothes the hoodie Yami Marik's usual outfit a long purple cape with a gold chain the black sleeveless tank top and beige pants from the manga his new clothes golden earrings, neckwear, armbands and bracelets His hair the same wing-like fringes of Marik's hair his belt his tank top"
https://yugioh.fandom.com/wiki,Mokuba Kaiba,"
Mokuba has tan skin with grayish-purple eyes and long black hair. In the flashback, Mokuba was seen wearing a greenish-blue longsleeve sweatshirt, black shorts, white socks, and black dress shoes. In the present, he wore a white and orange-striped open-collared shirt with a red sweatshirt over it, a light blue bandana around his neck, light blueish-green jeans, and light blue/black sneakers. Occasionally, Mokuba puts up his bandana like a mask and wears a purple hat to hide his identity. During the events of Battle City, Mokuba wears a green blue-striped shirt with a yellow vest over it, dark blue jeans, and blue sneakers.

In ''[[Yu-Gi-Oh! The Dark Side of Dimensions]]'', Mokuba was given a redesign, wearing a white business suit and having his long hair chopped off.

","grayish-purple eyes and long black hair a greenish-blue longsleeve sweatshirt, black shorts, white socks, and black dress shoes a white and orange-striped open-collared shirt a red sweatshirt over it a light blue bandana around his neck, light blueish-green jeans, and light blue/black sneakers his bandana a mask a purple hat to hide his identity a green blue-striped shirt a yellow vest over it, dark blue jeans, and blue sneakers a white business suit his long hair"
https://yugioh.fandom.com/wiki,Syrus Truesdale,"
[[File:Sho Linework.jpg|thumbnail|180px|left|Syrus's design incorporates multiple layers of clothing and a wide range of expressions. Depicted here is the Duelist in full [[Slifer Red]] regalia from front, side, and rear alongside views of his head from different angles.]]

Syrus's character design was overseen by [[Kenichi Hara]]. His usual outfit consists of the standard [[Duel Academy]] uniform with alternating colors over the course of the series. The designs for all three uniforms worn by Syrus are identical in basic makeup. With his red uniform, a yellow shirt is worn underneath the jacket, whereas with his yellow uniform, this is reversed. With his blue uniform, the shirt is black, and the collar has buttons not present in his other incarnations - similar to Chazz's uniform before he attended [[North Academy]]. The blue uniform also has fins in the back similar to his brother's outfit also not on his other uniforms.

His blue hair (of a lighter tint than his brother's) is sectioned in three layers, his grey eyes positioned between the three bangs closest to his face and behind a pair of round-lensed glasses. He carries an Academy-issued [[Duel Disk]] on his left hand. He has also been shown wearing the Academy jersey when necessary. In episode 8, during a flashback sequence when he was young, he wore a yellow collared shirt with blue shorts and black sneakers.  At the end of Episode 64, while searching for Jaden he wears an explorer outfit, consisting of a khaki hat, a khaki collared shirt with a blue undershirt, khaki shorts, white socks, and his (at the time) [[Ra Yellow]] uniform shoes.

In the first season of the dub, Syrus often makes a joke about how [[Zane Truesdale|his brother]] has amazing Dueling skills while apparently he always had ""the looks"".

","clothing and Depicted here is the Duelist in full [[Slifer Red]] regalia from front, side, and rear alongside views of his head from different angles. His usual outfit uniform with alternating colors over the course of the series all three uniforms worn by Syrus basic makeup his red uniform a yellow shirt the jacket his yellow uniform his blue uniform the shirt the collar buttons Chazz's uniform The blue uniform fins in the back similar to his brother's outfit his other uniforms His blue hair (of a lighter tint than his brother's) his grey eyes the three bangs closest to his face and round-lensed glasses a yellow collared shirt with blue shorts and black sneakers an explorer outfit a khaki hat a khaki collared shirt with a blue undershirt, khaki shorts, white socks, and his (at the time) uniform shoes"
https://yugioh.fandom.com/wiki,Blair Flannigan,"
When she was first introduced, she wore a standard [[Slifer Red]] jacket and boots with gray pants ending at the ankles. To hide her hair she disguised herself as a boy, she then wore a clip with both a large hat and an orange bandanna. When Blair returned near the end of season 2, she was once again disguised, since she still used her bandanna and wore a kabuki mask. She now wore a sleeveless orange shirt under an dark blue and aqua version of the [[Obelisk Blue]] jacket with blue jeans and lilac boots. Starting from season 3, Blair's main outfit consists of her orange shirt, a Slifer vest, black shorts with a slanted brown belt, black socks that went slightly above her knees and newly designed Slifer boots. She continued to wear this outfit even after she became an Obelisk. 

","[[Slifer Red]] jacket and boots with gray pants ending at the ankles. her hair both a large hat and an orange bandanna her bandanna a kabuki mask a sleeveless orange shirt jacket with blue jeans and lilac boots Blair's main outfit her orange shirt, a Slifer vest, black shorts with a slanted brown belt, black socks that went slightly above her knees and newly designed Slifer boots this outfit"
https://yugioh.fandom.com/wiki,Zigfried von Schroeder,"
[[File:Zigfried.png|left|thumb|284x284px]]Zigfried is depicted as a beautiful and gentle nobleman, wearing fashionable clothes. He has been called the 'trendsetter' by Roland. He appears in a palatinate purple suit with a black lapel which shows the Schroeder Corp's insignia at the left side, which is a purple rose. He wears black patent-leather shoes. Around his neck, he wears a cerise colored frilled jabot adorned with a purple brooch. He also carries a golden watch on his left wrist. He has aqua-colored eyes. His long pink hair is styled in a Hime cut fashion and is at waist-length, which is heavily criticized by Kaiba, Joey, and Rex because of its unusual color and shape. In his childhood and teenage years, his hair looks darker and shorter (only reaching his neck), and he wears a pink suit with a periwinkle colored collar, a purple ribbon, and a blue brooch.[[File:Zigfried (2).png|thumb|220x220px]]

","fashionable clothes a palatinate purple suit with a black lapel which shows the Schroeder Corp's insignia at the left side, which is a purple rose black patent-leather shoes a purple brooch a golden watch aqua-colored eyes His long pink hair a Hime cut fashion his hair a pink suit with a periwinkle colored collar, a purple ribbon,"
https://yugioh.fandom.com/wiki,Rebecca Hawkins,"
[[File:Rebecca Linework.jpg|thumb|180px|left|Linework]]

Her appearance in this arc is different from her appearance in Waking the Dragons. She still keeps the short skirt, but wears thigh-high socks to cover her legs. She also wears a light blue top over a grey T-shirt and reverted back to having two pigtails. She has blue eyes, light blonde hair and light pale skin.

","the short skirt thigh-high socks to cover her legs a light blue top a grey T-shirt two pigtails blue eyes, light blonde hair and light pale skin"
https://yugioh.fandom.com/wiki,Sartorius,"
[[File:Saiou Linework.jpg|thumb|Sartorius' design incorporates multiple layers of clothing and a wide range of expressions. Depicted here is the fortune-teller from front, side, and rear alongside views of his head from different angles.]]  
Sartorius' character design was overseen by Kenichi Hara. His usual outfit consists of the standard Obelisk Blue uniform with a raised and buckled collar and matching cut-offs for his arms and legs. A Deck box is strapped to his right leg, presumably to house his regular tarot Deck. His blue hair is sectioned in two layers, the layer closest to his face a lighter shade of blue than the one behind it, which generally flows as a single unit. Directly above his nose is another section of hair, colored grayish white, and he also wears earrings and a pair of ornaments on either side of his forehead. He carries an [[Academia Disk]] on his left hand despite his initial preference of Dueling on a table, even claiming to have never used a Duel Disk before prior to Dueling [[Tyranno Hassleberry|Hassleberry]].

Interestingly, Sartorius donned his Obelisk blue uniform well before enrolling in Duel Academy.

His natural complexion is flesh-tone; however, with his evil personality in dominance, his skin takes on a more pallid quality. Furthermore, his eyes are more sinister and glazed over by light. When completely corrupted by [[The Light of Destruction]], his hair becomes wild, his face inhumanely twisted, and his teeth elongated.

","clothing and His usual outfit the standard Obelisk Blue uniform raised and buckled collar and matching His blue hair is sectioned in two layers, the layer closest to his face a lighter shade of blue than the one behind it, which generally flows as a single unit hair, colored grayish white earrings and a pair of ornaments on either side of his forehead his Obelisk blue uniform flesh his eyes his hair"
https://yugioh.fandom.com/wiki,Crump,"
Adrian Crump, like the rest of the Big 5, wears a business suit. His double breasted suit is green. Crump has black hair, black eyes and a mustache. He is fairly short and is at least middle-aged and the oldest of the big five next to Gansley (in the Japanese he is stated to be 55). He has furled eyebrows, giving him a Middle Eastern look. Crump is fair skinned. In the Virtual World, he takes the appearance of [[Nightmare Penguin]].

","a business suit His double breasted suit black hair, black eyes and a mustache"
https://yugioh.fandom.com/wiki,Gansley,"
Gansley is a fair skinned old man with gray hair, who is partially bald likely his hair fell out due to old age. He is short, fat and carries a cane. He wears a double-breasted tan suit. In the Virtual World, he takes the appearance of [[Deepsea Warrior]]. He bears some resemblance to the historical figure of Ciceron, this may or not may be intentional.

",gray hair his hair a cane a double-breasted tan suit
https://yugioh.fandom.com/wiki,Mai Valentine,"
[[File:Mai Linework.jpg|thumb|left|150px|Mai's design incorporates multiple layers of clothing and a wide range of expressions. Depicted here is the Duelist in full regalia from front and side views and alongside views of her head from different angles.]]

Mai's character design was overseen by [[Kazuki Takahashi]]. Mai is fair-skinned with purple eyes, large silver hoop earrings, and long, thick, spiky blonde hair. In the anime, at [[Duelist Kingdom]], Mai wore a short-sleeved purple coat over her white tube top, exposing her midriff, black socks along with recurring purple high-heeled boots. From [[Battle City]] on, she changed to a sleeveless light purple vest and a white tank top and wore long white fingerless gloves. She wears a dark purple miniskirt and a Deck holder strapped to her thigh in the Duelist Kingdom and Battle City arcs and her cameo appearances at KC Grand Championship arc, but in [[Waking the Dragons]], she wears dark purple shorts and vest, black corset, dark purple thigh-high high heeled boots, a black choker with an [[Orichalcos Stone]], and a [[Chaos Duel Disk]] on her left arm, in addition to black fingerless gloves. In ''[[Yu-Gi-Oh! The Movie: Pyramid of Light]]'', she is seen in an outfit similar to the one she wore in Waking the Dragons. However, her top is white/grey instead of black.

In the manga, in [[Duelist Kingdom]], she largely wore the same outfit as the anime, but her top was open, revealing the middle of her chest and held together using strings, like a corset. In Battle City, she changed to wearing a black leather vest and miniskirt, and wore a similar tube top as her Duelist Kingdom self, but with the front closed.

In the dub, from Season 2 onwards, her cleavage and lines of cleavage are digitally reduced or erased, and her skirt is lengthened.

","clothing and full regalia purple eyes large silver hoop earrings, and long, thick, spiky blonde hair a short-sleeved purple coat over her white tube top her midriff black socks along with recurring purple high-heeled boots a sleeveless light purple vest and a white tank top long white fingerless gloves a dark purple miniskirt and a Deck holder strapped to her thigh in the Duelist Kingdom and Battle City arcs and her cameo appearances at KC Grand Championship arc dark purple shorts and vest, black corset, dark purple thigh-high high heeled boots, a black choker with an [[Orichalcos Stone black fingerless gloves an outfit similar to the one she wore in Waking the Dragons her top the same outfit as the anime her top strings a corset a black leather vest and miniskirt a similar tube top as her Duelist Kingdom self her skirt"
https://yugioh.fandom.com/wiki,Titan,"
[[File:Titan Linework.jpg|thumb|left|200px|Linework]]
His general modus operandi and physical stature are reminiscent of [[PaniK]], though he also looks, sounds, and acts a lot like pro wrestler [[wikipedia:The Undertaker|The Undertaker]] (and at one point says ""rest in peace"" to his first victim; this is one of the Undertaker's prominent catchphrases). He wears an iron mask, a hat and a large jacket, as well as a [[Millennium Pendant (Titan's item)|fake Millennium Puzzle]]. He normally creates fog around him to appear as if a true [[Shadow Game]] was imminent.&lt;ref name","an iron mask, a hat and a large jacket, as well as a [[Millennium Pendant (Titan's item)|fake Millennium Puzzle]]"
